gene,degree_centrality,betweenness_centrality,eigenvector_centrality,composite_score
CXXC5,0.0,0.0,0.0,0.0
FKBP6P1,0.0,0.0,0.0,0.0
DENND2B,0.0,0.0,0.0,0.0
FAM201A,0.0,0.0,0.0,0.0
CXCL14,0.0,0.0,0.0,0.0
EBP,0.0,0.0,0.0,0.0
EI24,0.0,0.0,0.0,0.0
EGFL7,0.0,0.0,0.0,0.0
EFS,0.0,0.0,0.0,0.0
ENOX1,0.0,0.0,0.0,0.0
ENPP2,0.0,0.0,0.0,0.0
EFCAB7,0.0,0.0,0.0,0.0
EPB41,0.0,0.0,0.0,0.0
ECI2-DT,0.0,0.0,0.0,0.0
ESRP2,0.0,0.0,0.0,0.0
FAM184A,0.0,0.0,0.0,0.0
DNAJC10,0.0,0.0,0.0,0.0
DNAH5,0.0,0.0,0.0,0.0
EZH2,0.0,0.0,0.0,0.0
DNAAF9,0.0,0.0,0.0,0.0
DLK2,0.0,0.0,0.0,0.0
DIAPH2,0.0,0.0,0.0,0.0
DHRS11,0.0,0.0,0.0,0.0
DGKD,0.0,0.0,0.0,0.0
FKBP9,0.0,0.0,0.0,0.0
FLJ20021,0.0,0.0,0.0,0.0
CCDC106,0.0,0.0,0.0,0.0
CD38,0.0,0.0,0.0,0.0
GALNT17,0.0,0.0,0.0,0.0
CHTF18,0.0,0.0,0.0,0.0
CHD1L,0.0,0.0,0.0,0.0
CFD,0.0,0.0,0.0,0.0
CERS2,0.0,0.0,0.0,0.0
CDR2L,0.0,0.0,0.0,0.0
CDH3,0.0,0.0,0.0,0.0
CD47,0.0,0.0,0.0,0.0
GCDH,0.0,0.0,0.0,0.0
GABPB1-AS1,0.0,0.0,0.0,0.0
CCNG2,0.0,0.0,0.0,0.0
CCK,0.0,0.0,0.0,0.0
GCNT1,0.0,0.0,0.0,0.0
CCEPR,0.0,0.0,0.0,0.0
GCNT4,0.0,0.0,0.0,0.0
GDF15,0.0,0.0,0.0,0.0
EIF3L,0.0,0.0,0.0,0.0
CCDC110,0.0,0.0,0.0,0.0
CIDEB,0.0,0.0,0.0,0.0
GABARAPL2,0.0,0.0,0.0,0.0
FLOT2,0.0,0.0,0.0,0.0
CPAMD8,0.0,0.0,0.0,0.0
CTTNBP2,0.0,0.0,0.0,0.0
CTSLP8,0.0,0.0,0.0,0.0
CTPS1,0.0,0.0,0.0,0.0
FMO2,0.0,0.0,0.0,0.0
CRELD2,0.0,0.0,0.0,0.0
FOXF1,0.0,0.0,0.0,0.0
CRAT,0.0,0.0,0.0,0.0
CPXM1,0.0,0.0,0.0,0.0
FRAT1,0.0,0.0,0.0,0.0
CLDN7,0.0,0.0,0.0,0.0
COQ10A,0.0,0.0,0.0,0.0
COL13A1,0.0,0.0,0.0,0.0
COL12A1,0.0,0.0,0.0,0.0
COG4,0.0,0.0,0.0,0.0
COA7,0.0,0.0,0.0,0.0
FTH1,0.0,0.0,0.0,0.0
FTSJ3,0.0,0.0,0.0,0.0
CNN2,0.0,0.0,0.0,0.0
DDX24,0.0,0.0,0.0,0.0
