gene,log2FC,pvalue,adjusted_pvalue
BNIPL,-1.2955090088779122,0.0004322680983271054,0.005692577017160633
BOLA2B,1.2903557706616726,6.996306936897609e-06,0.0002979954782031369
BOP1,1.1070900160010277,4.869770169793394e-07,4.448483244040629e-05
BPHL,1.2344926853015945,2.326358698662785e-05,0.0007076071302931514
BPIFC,1.053907663911016,0.0009293937393605486,0.008709391459519395
BRAT1,1.45718647680647,0.00016499247888524757,0.0029588437560977444
BRD1,1.1759838093433557,0.0004456894637245947,0.005774058972707227
BRI3BP,1.1659795927626433,6.24091440145952e-05,0.0014530771090686715
BST2,-1.328131259118143,4.6577589124568774e-05,0.0011613020972556537
BUB1B,1.0718706627781156,5.595514717893062e-07,4.747783179802781e-05
BZW2,1.0041487041908927,0.0016020839034123872,0.011022210104048141
C17orf50,1.0303540404927651,0.0013022922576214257,0.010173575245278326
C19orf48P,1.2536083795024906,2.86443891191865e-05,0.0008231714875790851
